sample	stat	space	simu	reference	motus3	metaphlan4	metaphlan3	kraken2
SAMEA2467013	Kept_mOTUs	gtdb207	refKrak	643.0	556.0	490.0	209.0	713.0
SAMEA2467013	Raw_mOTUs	gtdb207	refKrak	643.0	558.0	490.0	209.0	713.0
SAMEA2467013	Lost_mOTUs	gtdb207	refKrak	0.0	2.0	0.0	0.0	0.0
SAMEA2467013	Lost_abundance	gtdb207	refKrak	0.0	0.002998688127126	1.1102230246251563e-16	0.0	2.220446049250313e-16
SAMEA2467013	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.003584229390681	0.0	0.0	0.0
SAMEA2466932	Kept_abundance	gtdb207	refKrak	1.0	0.9993140497864226	1.0	1.0	1.0
SAMEA2466932	Kept_mOTUs	gtdb207	refKrak	825.0	681.0	578.0	208.0	854.0
SAMEA2466932	Raw_mOTUs	gtdb207	refKrak	825.0	683.0	578.0	208.0	854.0
SAMEA2466932	Lost_mOTUs	gtdb207	refKrak	0.0	2.0	0.0	0.0	0.0
SAMEA2466932	Lost_abundance	gtdb207	refKrak	1.1102230246251563e-16	0.0006859502135774	0.0	0.0	0.0
SAMEA2466932	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0029282576866764	0.0	0.0	0.0
SAMEA3136741	Kept_abundance	gtdb207	refKrak	1.0	0.999133943733842	1.0000000000000002	1.0	1.0
SAMEA3136741	Kept_mOTUs	gtdb207	refKrak	559.0	523.0	457.0	190.0	708.0
SAMEA3136741	Raw_mOTUs	gtdb207	refKrak	559.0	525.0	457.0	190.0	708.0
SAMEA3136741	Lost_mOTUs	gtdb207	refKrak	0.0	2.0	0.0	0.0	0.0
SAMEA3136741	Lost_abundance	gtdb207	refKrak	0.0	0.000866056266158	-2.220446049250313e-16	1.1102230246251563e-16	0.0
SAMEA3136741	Lost_mOTUs_frac	gtdb207	refKrak	0.0	0.0038095238095238	0.0	0.0	0.0
SAMEA3136628	Kept_abundance	gtdb207	refKrak	1.0	0.9992134437963168	1.0	1.0	1.0
SAMEA3136628	Kept_mOTUs	gtdb207	refKrak	346.0	324.0	259.0	116.0	825.0
SAMEA3136628	Raw_mOTUs	gtdb207	refKrak	346.0	326.0	259.0	116.0	825.0
SAMEA3136628	Lost_mOTUs	gtdb207	refKrak	0.0	2.0	0.0	0.0	0.0
