	space	simu	simulation	kraken2 + bracken	metaphlan3	motus3	metaphlan4
SAMEA3136667	gtdb207	refKrak	467	665	160	420	405
SAMEA3136668	gtdb207	refKrak	274	686	106	242	216
SAMEA3136669	gtdb207	refKrak	465	608	161	406	396
SAMEA3136670	gtdb207	refKrak	420	728	131	378	367
SAMEA3136671	gtdb207	refKrak	462	657	143	416	394
SAMEA3136672	gtdb207	refKrak	413	749	138	368	348
SAMEA3136673	gtdb207	refKrak	440	742	138	385	366
SAMEA3136674	gtdb207	refKrak	384	548	116	345	319
SAMEA3136675	gtdb207	refKrak	517	686	166	464	454
SAMEA3136676	gtdb207	refKrak	526	860	160	491	448
SAMEA3136677	gtdb207	refKrak	226	393	69	197	184
SAMEA3136678	gtdb207	refKrak	353	595	124	296	287
SAMEA3136679	gtdb207	refKrak	276	470	112	235	234
SAMEA3136680	gtdb207	refKrak	535	692	184	444	418
SAMEA3136681	gtdb207	refKrak	266	406	77	192	179
SAMEA3136682	gtdb207	refKrak	421	564	143	374	369
SAMEA3136683	gtdb207	refKrak	528	717	158	465	455
SAMEA3136684	gtdb207	refKrak	636	975	192	569	548
SAMEA3136685	gtdb207	refKrak	540	887	155	463	423
SAMEA3136686	gtdb207	refKrak	369	517	116	305	290
SAMEA3136687	gtdb207	refKrak	412	551	119	353	336
SAMEA3136688	gtdb207	refKrak	521	683	160	435	428
SAMEA3136689	gtdb207	refKrak	529	919	176	484	459
SAMEA3136690	gtdb207	refKrak	210	418	80	164	163
SAMEA3136691	gtdb207	refKrak	457	744	128	380	323
SAMEA3136692	gtdb207	refKrak	390	509	119	312	288
SAMEA3136693	gtdb207	refKrak	411	732	121	347	313
SAMEA3136694	gtdb207	refKrak	549	763	159	478	475
SAMEA3136695	gtdb207	refKrak	529	646	165	465	454
SAMEA3136696	gtdb207	refKrak	481	927	148	410	388
SAMEA3136697	gtdb207	refKrak	493	660	155	419	412
SAMEA3136698	gtdb207	refKrak	654	920	188	542	525
SAMEA3136699	gtdb207	refKrak	623	814	169	556	532
SAMEA3136700	gtdb207	refKrak	674	800	185	580	556
SAMEA3136701	gtdb207	refKrak	467	692	162	406	394
SAMEA3136702	gtdb207	refKrak	228	413	85	197	199
SAMEA3136703	gtdb207	refKrak	435	593	148	392	379
SAMEA3136704	gtdb207	refKrak	479	825	155	425	393
SAMEA3136705	gtdb207	refKrak	586	808	172	511	487
SAMEA3136706	gtdb207	refKrak	445	580	137	373	347
SAMEA3136707	gtdb207	refKrak	503	740	136	443	432
SAMEA3136708	gtdb207	refKrak	277	604	88	248	216
SAMEA3136709	gtdb207	refKrak	351	911	134	336	309
SAMEA3136710	gtdb207	refKrak	262	443	73	240	218
SAMEA3136711	gtdb207	refKrak	312	507	92	288	266
SAMEA3136712	gtdb207	refKrak	359	487	108	297	286
SAMEA3136713	gtdb207	refKrak	501	750	163	454	436
SAMEA3136714	gtdb207	refKrak	373	661	117	335	306
SAMEA3136715	gtdb207	refKrak	482	747	149	416	390
SAMEA3136716	gtdb207	refKrak	460	837	158	405	374
SAMEA3136717	gtdb207	refKrak	473	841	151	409	382
SAMEA3136718	gtdb207	refKrak	595	777	176	533	522
SAMEA3136719	gtdb207	refKrak	447	778	132	374	344
SAMEA3136720	gtdb207	refKrak	339	777	106	262	227
SAMEA3136721	gtdb207	refKrak	499	710	147	448	419
SAMEA3136722	gtdb207	refKrak	239	440	90	166	161
SAMEA3136723	gtdb207	refKrak	563	753	188	453	448
SAMEA3136724	gtdb207	refKrak	476	651	151	353	330
SAMEA3136725	gtdb207	refKrak	634	826	186	563	547
SAMEA3136726	gtdb207	refKrak	607	746	192	536	529
SAMEA3136727	gtdb207	refKrak	636	798	194	544	525
SAMEA3136728	gtdb207	refKrak	447	737	151	409	383
SAMEA3136729	gtdb207	refKrak	570	764	173	505	505
