mOTU	msp
ref_mOTU_v3_04646	msp_0269:0.08103498895063148,msp_0467:0.9189650110493686
ext_mOTU_v3_26556	msp_0142:0.5257140896094786,msp_1979:0.47428591039052126
ext_mOTU_v3_17623	msp_0041:0.20150813948198235,msp_0078:0.14751755674001255,msp_0080:0.26297441877572697,msp_0091:0.07014844513925035,msp_0224:0.2217822642871695,msp_0339:0.04406268500953829,msp_0746:0.05200649056632006
ext_mOTU_v3_26356	msp_0784
ext_mOTU_v3_17883	msp_1271
meta_mOTU_v3_12659	msp_1031:0.033585689943936715,msp_1116:0.9664143100560633
ext_mOTU_v3_17684	msp_0007
ref_mOTU_v3_02704	msp_0166:0.014510336389965874,msp_0419:0.006408153561973947,msp_0469c:0.9790815100480602
meta_mOTU_v3_12543	msp_0645
ext_mOTU_v3_17699	msp_0314:0.8602170528175743,msp_0553:0.011380709704430631,msp_0560:0.12840223747799495
ext_mOTU_v3_18059	msp_1267
ref_mOTU_v3_03613	msp_0757
ref_mOTU_v3_12031	msp_0711c
ext_mOTU_v3_17690	msp_1664
ext_mOTU_v3_18286	msp_0249:0.00046504165968783964,msp_0669:0.00303975456412078,msp_1171:0.9964952037761914
ref_mOTU_v3_04446	msp_0469c:0.6160615907538584,msp_0878:0.15669148410622574,msp_1155:0.22724692513991585
ext_mOTU_v3_26594	msp_0396:0.20509128444880903,msp_1142:0.794908715551191
ref_mOTU_v3_10100	msp_0618
meta_mOTU_v3_14278	msp_1249
ext_mOTU_v3_26297	msp_0110
ext_mOTU_v3_15369	msp_1617
ext_mOTU_v3_26919	msp_1215:0.05833855712863969,msp_1361:0.49865674531708853,msp_1570:0.26701515148814525,msp_1600:0.17598954606612652
ref_mOTU_v3_11151	msp_0236
ref_mOTU_v3_02372	msp_0130
ext_mOTU_v3_17795	msp_1154
ext_mOTU_v3_17661	msp_1396c
meta_mOTU_v3_13005	msp_0466
meta_mOTU_v3_12316	msp_0800
ext_mOTU_v3_27033	msp_0568:0.007753535277758278,msp_1249:0.9465425566091281,msp_1636:0.0457039081131136
ext_mOTU_v3_18261	msp_0276
ext_mOTU_v3_26355	msp_0121:0.08497743984915275,msp_0534:0.0036189893260284685,msp_0777:0.0652772982491215,msp_0822:0.010821968713996013,msp_0902:0.8254412437679329,msp_1096:0.009863060093768517
ext_mOTU_v3_16445	msp_1545
meta_mOTU_v3_12910	msp_1120
meta_mOTU_v3_12447	msp_0060
ext_mOTU_v3_17526	msp_1829
ref_mOTU_v3_03648	msp_0608
ext_mOTU_v3_26231	msp_0791
ext_mOTU_v3_26677	msp_1603c
meta_mOTU_v3_12475	msp_0402
