metaphlan	clade	msp
SGB8590	t__SGB8590	msp_1095
SGB2124	t__SGB2124	msp_0614
SGB72777	t__SGB72777	msp_1520
SGB1965	t__SGB1965	msp_0059
SGB9284	t__SGB9284	msp_1152
SGB1677	t__SGB1677	msp_0229
SGB6172	t__SGB6172	msp_1567
SGB14222	t__SGB14222	msp_0556
SGB14854	t__SGB14854	msp_1558
SGB6169	t__SGB6169	msp_1772c
SGB14389	t__SGB14389	msp_0662
SGB6250	t__SGB6250	msp_1988
SGB5191	t__SGB5191	msp_0204
SGB6350	t__SGB6350	msp_1189
SGB15377	t__SGB15377	msp_0298
SGB72916	t__SGB72916	msp_1549
SGB15111	t__SGB15111	msp_1917
SGB4044	t__SGB4044	msp_1362
SGB6369	t__SGB6369	msp_1139
SGB1666	t__SGB1666	msp_0136
SGB15074	t__SGB15074	msp_0640
SGB4042	t__SGB4042	msp_0479
SGB9228	t__SGB9228	msp_0070
SGB1832	t__SGB1832	msp_0063
SGB6447	t__SGB6447	msp_1290
SGB15053	t__SGB15053	msp_0903
SGB6312	t__SGB6312	msp_0872
SGB2091	t__SGB2091	msp_0710
SGB4960	t__SGB4960	msp_0464
SGB5112	t__SGB5112	msp_2088
SGB5803_group	t__SGB5803_group	msp_0215
