metaphlan	clade	msp
SGB1663	t__SGB1663	msp_0549
SGB1557	t__SGB1557	msp_1404
SGB1662	t__SGB1662	msp_0176
SGB1699	t__SGB1699	msp_0081
SGB1552	t__SGB1552	msp_1782
SGB1657	t__SGB1657	msp_0598
SGB1592	t__SGB1592	msp_0568
SGB1680	t__SGB1680	msp_0123
SGB1705	t__SGB1705	msp_0687
SGB1644	t__SGB1644	msp_0224
SGB1673	t__SGB1673	msp_0746
SGB1636	t__SGB1636	msp_0251
SGB1668	t__SGB1668	msp_0257
SGB1676	t__SGB1676	msp_0651
SGB1613	t__SGB1613	msp_0084
SGB1677	t__SGB1677	msp_0229
SGB1701	t__SGB1701	msp_1263c
SGB1600	t__SGB1600	msp_0137
SGB1667	t__SGB1667	msp_0599
SGB1692	t__SGB1692	msp_0997
SGB1626	t__SGB1626	msp_0041
SGB1697	t__SGB1697	msp_1045
SGB1672	t__SGB1672	msp_0918:0.5699853541407163,msp_1568:0.4300146458592837
SGB1679	t__SGB1679	msp_0275
SGB1782	t__SGB1782	msp_0117
SGB1776	t__SGB1776	msp_0950c
SGB1714	t__SGB1714	msp_1106
SGB1666	t__SGB1666	msp_0136
SGB1781	t__SGB1781	msp_1340
SGB1814	t__SGB1814	
SGB1898	t__SGB1898	msp_0658
SGB1795	t__SGB1795	msp_0470
SGB1858	t__SGB1858	msp_0054
SGB1877	t__SGB1877	msp_0023
SGB1931	t__SGB1931	msp_0528
SGB1917	t__SGB1917	msp_0349:0.25813563044941185,msp_1842:0.7418643695505882
SGB1860	t__SGB1860	msp_0019
SGB1888	t__SGB1888	msp_0114
SGB1897	t__SGB1897	msp_0377
SGB1895	t__SGB1895	msp_0096
SGB1846	t__SGB1846	msp_0008
SGB1853	t__SGB1853	msp_0033
SGB1832	t__SGB1832	msp_0063
SGB1910	t__SGB1910	msp_0101
SGB1815	t__SGB1815	msp_0035
SGB1913	t__SGB1913	msp_0355
SGB1827	t__SGB1827	msp_0363
SGB1797	t__SGB1797	msp_0097
SGB1822	t__SGB1822	msp_0187
SGB1789	t__SGB1789	msp_0827
SGB1914	t__SGB1914	msp_0609
SGB1821	t__SGB1821	msp_0217
SGB1912	t__SGB1912	msp_0101:0.258383297343519,msp_1843:0.741616702656481
SGB1940	t__SGB1940	msp_0156
SGB1953	t__SGB1953	msp_0870
SGB1790	t__SGB1790	msp_0062
SGB1818	t__SGB1818	msp_1879
SGB1928	t__SGB1928	msp_0694
SGB1835	t__SGB1835	msp_0336
SGB1867	t__SGB1867	
SGB1916	t__SGB1916	msp_0934
SGB1791	t__SGB1791	msp_0184
SGB1942	t__SGB1942	msp_0098
SGB1784	t__SGB1784	
SGB1934	t__SGB1934	msp_0012
SGB1824	t__SGB1824	msp_0211
SGB1909	t__SGB1909	msp_1207
SGB1798	t__SGB1798	msp_0026
SGB1894	t__SGB1894	msp_0390
SGB1857	t__SGB1857	msp_0037
SGB1943	t__SGB1943	msp_0155
SGB1939	t__SGB1939	msp_0156:0.3107637409197769,msp_1814:0.6892362590802231
SGB1930	t__SGB1930	msp_0143
SGB1945	t__SGB1945	msp_0264
SGB1941	t__SGB1941	msp_0028
SGB1981	t__SGB1981	msp_1570
SGB1948	t__SGB1948	msp_0083
SGB1830	t__SGB1830	msp_0031
SGB1949	t__SGB1949	msp_0027
SGB1844	t__SGB1844	
SGB1871	t__SGB1871	msp_0007
SGB1964	t__SGB1964	msp_0702
SGB1963	t__SGB1963	msp_0139
SGB1958	t__SGB1958	msp_1878
SGB1862	t__SGB1862	msp_0022
SGB1792	t__SGB1792	msp_0216
SGB1829	t__SGB1829	msp_0036
SGB1965	t__SGB1965	msp_0059
SGB1836	t__SGB1836	msp_0046
SGB1861	t__SGB1861	msp_0011
SGB1977	t__SGB1977	msp_1361
SGB1962	t__SGB1962	msp_0198
SGB1991	t__SGB1991	msp_1158
SGB1812	t__SGB1812	msp_0040
SGB1957	t__SGB1957	msp_0412
SGB1967	t__SGB1967	msp_0310
SGB1848	t__SGB1848	msp_1737
SGB2021	t__SGB2021	msp_0511
SGB2071	t__SGB2071	msp_0199
SGB2069	t__SGB2069	msp_1830
SGB2085	t__SGB2085	msp_0593
SGB2091	t__SGB2091	msp_0710
SGB2073	t__SGB2073	msp_0525:0.7419535430384712,msp_2011:0.2580464569615288
SGB2094	t__SGB2094	msp_0680c
SGB2136	t__SGB2136	msp_1052
SGB2121	t__SGB2121	msp_0611
SGB2135	t__SGB2135	msp_0753
SGB2133	t__SGB2133	msp_0786
SGB2181	t__SGB2181	msp_2134
SGB2166	t__SGB2166	msp_1546
SGB2240	t__SGB2240	msp_0327
SGB2092	t__SGB2092	msp_0857
SGB2154	t__SGB2154	msp_0476
SGB2214	t__SGB2214	msp_1107
SGB2126	t__SGB2126	msp_0802
SGB2111	t__SGB2111	msp_0836
SGB2296	t__SGB2296	msp_0381
SGB2103	t__SGB2103	msp_1984
SGB2212	t__SGB2212	msp_1273:0.36956850840171546,msp_2023:0.6304314915982846
SGB2215	t__SGB2215	msp_0991
SGB2164	t__SGB2164	msp_1546
SGB2304	t__SGB2304	msp_0537
SGB2173	t__SGB2173	msp_0628
SGB2303	t__SGB2303	msp_0032
SGB2299	t__SGB2299	msp_0429
SGB2076	t__SGB2076	msp_0608
SGB2289	t__SGB2289	msp_1859
SGB2239	t__SGB2239	msp_0416
SGB2241	t__SGB2241	msp_0508
SGB2278	t__SGB2278	msp_0951
SGB2279	t__SGB2279	msp_0764
SGB2227	t__SGB2227	msp_0304
SGB2312	t__SGB2312	msp_0417
SGB2155	t__SGB2155	msp_0888
SGB2286	t__SGB2286	msp_0230
SGB2237	t__SGB2237	msp_0987
SGB2290	t__SGB2290	msp_0225
SGB2238	t__SGB2238	msp_0261
SGB2301	t__SGB2301	msp_0089
SGB2311	t__SGB2311	msp_0335
SGB2229	t__SGB2229	msp_1474
SGB2298	t__SGB2298	msp_0439:0.23354300158185487,msp_0637:0.5333829586868561,msp_1241:0.23307403973128885
SGB2276	t__SGB2276	msp_0847
SGB2275	t__SGB2275	msp_0635
SGB2318	t__SGB2318	msp_0090
SGB2321	t__SGB2321	msp_0636
SGB2230	t__SGB2230	msp_0064
SGB2287	t__SGB2287	msp_1841
SGB2328	t__SGB2328	msp_0287
SGB2323	t__SGB2323	msp_0815
SGB2325	t__SGB2325	msp_0318
SGB2295	t__SGB2295	msp_0196
SGB2326	t__SGB2326	msp_0324
SGB2313	t__SGB2313	msp_0214
SGB3574	t__SGB3574	msp_0908:0.6436636285645222,msp_1539:0.3563363714354779
SGB3683	t__SGB3683	msp_1276:0.7487392665523244,msp_1526:0.2512607334476756
SGB3573	t__SGB3573	msp_1094
SGB3677	t__SGB3677	msp_0656
SGB3940	t__SGB3940	msp_0776
SGB3957	t__SGB3957	msp_1291
SGB3926	t__SGB3926	msp_1293
SGB3952	t__SGB3952	msp_0665
SGB3989	t__SGB3989	msp_0773
SGB3961	t__SGB3961	msp_0851
SGB3990	t__SGB3990	msp_1053
SGB3991	t__SGB3991	msp_0707
SGB3970	t__SGB3970	msp_0104
SGB3977	t__SGB3977	msp_1259c
SGB3992	t__SGB3992	msp_0472
SGB3994	t__SGB3994	msp_1415
SGB3983	t__SGB3983	msp_0392
SGB4026	t__SGB4026	msp_1299
SGB3996	t__SGB3996	msp_0315
SGB3993	t__SGB3993	msp_0793
SGB4041	t__SGB4041	msp_0334
SGB4035	t__SGB4035	msp_0852
SGB4042	t__SGB4042	msp_0479
SGB4040	t__SGB4040	msp_0231
SGB4029	t__SGB4029	msp_0500
SGB4133	t__SGB4133	msp_0629
SGB4174	t__SGB4174	msp_0445
SGB4044	t__SGB4044	msp_1362
SGB4173	t__SGB4173	msp_0434
SGB4027	t__SGB4027	msp_0949
SGB4183	t__SGB4183	msp_1575
SGB4045	t__SGB4045	msp_1590c
SGB4191	t__SGB4191	msp_0047
SGB4181	t__SGB4181	msp_0210
SGB4184	t__SGB4184	msp_0286
SGB4121	t__SGB4121	msp_1279
SGB4208	t__SGB4208	msp_0752
SGB4031	t__SGB4031	msp_1264c
SGB4212	t__SGB4212	msp_0451
SGB4166	t__SGB4166	msp_0735
SGB4141	t__SGB4141	msp_0683
SGB4172	t__SGB4172	msp_2140
SGB4046	t__SGB4046	msp_1556
SGB4158	t__SGB4158	msp_0644
SGB4193	t__SGB4193	msp_0427
SGB4155	t__SGB4155	msp_1022
SGB4241	t__SGB4241	msp_0606
SGB4146	t__SGB4146	msp_1817
SGB4262	t__SGB4262	msp_0013
SGB4247	t__SGB4247	msp_0127
SGB4036	t__SGB4036	msp_0278
SGB4153	t__SGB4153	msp_1061c
SGB4194	t__SGB4194	msp_0444
SGB4260	t__SGB4260	msp_0481
SGB4175	t__SGB4175	msp_0921
SGB4280	t__SGB4280	msp_0290
SGB4269	t__SGB4269	msp_0468
SGB4303	t__SGB4303	msp_0285
SGB4274	t__SGB4274	msp_0839
SGB4312	t__SGB4312	msp_0762
SGB4328	t__SGB4328	msp_0709
SGB4314	t__SGB4314	msp_1002
SGB4272	t__SGB4272	msp_0529
SGB4317	t__SGB4317	msp_0569
SGB4325	t__SGB4325	msp_1216
SGB4372	t__SGB4372	msp_0708
SGB4394	t__SGB4394	msp_0959
SGB4348	t__SGB4348	msp_0271
SGB4335	t__SGB4335	msp_0835
SGB4395	t__SGB4395	msp_0716
SGB4373	t__SGB4373	msp_0498
SGB4316	t__SGB4316	msp_0962
SGB4364	t__SGB4364	msp_0343
SGB4367	t__SGB4367	msp_0105
SGB4385	t__SGB4385	msp_2009
SGB4333	t__SGB4333	msp_1267
SGB4365	t__SGB4365	msp_0322
SGB4418	t__SGB4418	msp_0367
SGB4421	t__SGB4421	msp_0325
SGB4422	t__SGB4422	msp_0262
SGB4406	t__SGB4406	msp_0891
SGB4393	t__SGB4393	msp_0904
SGB4420	t__SGB4420	msp_0282
SGB4327	t__SGB4327	msp_0277
SGB4368	t__SGB4368	msp_0784
SGB4447	t__SGB4447	msp_0431
SGB4549	t__SGB4549	msp_0868
SGB4419	t__SGB4419	msp_0717
SGB4482	t__SGB4482	msp_1788
SGB4532	t__SGB4532	msp_0050
SGB4571	t__SGB4571	msp_0604
SGB4553	t__SGB4553	msp_0581
SGB4557	t__SGB4557	msp_0250
SGB4546	t__SGB4546	msp_0674
SGB4572	t__SGB4572	msp_0706
SGB4581	t__SGB4581	msp_0307
SGB4537	t__SGB4537	msp_0337
SGB4575	t__SGB4575	msp_0506
SGB4529	t__SGB4529	msp_0200
SGB4583	t__SGB4583	msp_0111
SGB4613	t__SGB4613	msp_1684
SGB4586	t__SGB4586	msp_1891
SGB4607	t__SGB4607	msp_1202
SGB4638	t__SGB4638	msp_0688
SGB4615	t__SGB4615	msp_1747
SGB4617	t__SGB4617	msp_0274
SGB4655	t__SGB4655	msp_0247
SGB4628	t__SGB4628	msp_0524
SGB4629	t__SGB4629	msp_1491
SGB4619	t__SGB4619	msp_1250
SGB4648	t__SGB4648	msp_0238
SGB4552	t__SGB4552	msp_0655
SGB4608	t__SGB4608	msp_0126
SGB4624	t__SGB4624	msp_1084
SGB4606	t__SGB4606	msp_0510
SGB4657	t__SGB4657	msp_1020
SGB4588	t__SGB4588	msp_0246
SGB4670	t__SGB4670	msp_0986
SGB4643	t__SGB4643	msp_0463
SGB4584	t__SGB4584	msp_0058
SGB4652	t__SGB4652	msp_0194
SGB4644	t__SGB4644	msp_0093
SGB4654	t__SGB4654	msp_0207
SGB4675	t__SGB4675	msp_0745
SGB4659	t__SGB4659	msp_0175
SGB4658	t__SGB4658	msp_0243
SGB4669	t__SGB4669	msp_0945
SGB4664	t__SGB4664	msp_0305
SGB4677	t__SGB4677	msp_0112
SGB4672	t__SGB4672	msp_0550
SGB4699	t__SGB4699	msp_0086
SGB4632	t__SGB4632	msp_1525
SGB4626	t__SGB4626	msp_0379
SGB4691	t__SGB4691	msp_0181
SGB4746	t__SGB4746	msp_0254
SGB4703	t__SGB4703	msp_0186
SGB4706	t__SGB4706	msp_0820
SGB4651	t__SGB4651	msp_0542
SGB4671	t__SGB4671	msp_0292
SGB4701	t__SGB4701	msp_0308
SGB4718	t__SGB4718	msp_1562
SGB4741	t__SGB4741	msp_0044
SGB4705	t__SGB4705	msp_0346
SGB4712	t__SGB4712	msp_0780
SGB4727	t__SGB4727	msp_0647
SGB4751	t__SGB4751	msp_0693
SGB4709	t__SGB4709	msp_0705
SGB4714	t__SGB4714	msp_0906
SGB4711	t__SGB4711	msp_1236
SGB4749	t__SGB4749	msp_0079
SGB4722	t__SGB4722	msp_1048:0.2517089842017696,msp_1515:0.7482910157982303
SGB4742	t__SGB4742	msp_0024
SGB4724	t__SGB4724	
SGB4750	t__SGB4750	msp_0591
SGB4752	t__SGB4752	msp_0770
SGB4763	t__SGB4763	msp_0772
SGB4771	t__SGB4771	msp_1533
SGB4721	t__SGB4721	msp_0129
SGB4744	t__SGB4744	msp_0402
SGB4760	t__SGB4760	msp_0020
SGB4785	t__SGB4785	msp_0180
SGB4716	t__SGB4716	msp_0898
SGB4768	t__SGB4768	
SGB4747	t__SGB4747	msp_0233
SGB4809	t__SGB4809	msp_0489
SGB4762	t__SGB4762	msp_0056
SGB4798	t__SGB4798	msp_0309
SGB4767	t__SGB4767	msp_0930
SGB4810	t__SGB4810	msp_0189:0.504253221682516,msp_0272:0.4957467783174839
SGB4805	t__SGB4805	msp_1403
SGB4761	t__SGB4761	msp_0713
SGB4816	t__SGB4816	msp_0244
SGB4791	t__SGB4791	msp_0182
SGB4825	t__SGB4825	msp_0756
SGB4770	t__SGB4770	msp_0473c
SGB4753	t__SGB4753	msp_0066
SGB4829	t__SGB4829	msp_1038
SGB4786	t__SGB4786	msp_0113:0.8010068471948075,msp_0180:0.19899315280519236
SGB4834	t__SGB4834	msp_0162
SGB4797	t__SGB4797	msp_0268
SGB4779	t__SGB4779	msp_1608c
SGB4862	t__SGB4862	msp_0052
SGB4803	t__SGB4803	msp_0165
SGB4886	t__SGB4886	msp_0168
SGB4782	t__SGB4782	msp_1492
SGB4882	t__SGB4882	msp_0074
SGB4881	t__SGB4881	msp_0371
SGB4874	t__SGB4874	msp_0154
SGB4867	t__SGB4867	msp_0733
SGB4820	t__SGB4820	msp_0208
SGB4870	t__SGB4870	msp_0625
SGB4826	t__SGB4826	msp_0141
SGB4868	t__SGB4868	msp_0142
SGB4900	t__SGB4900	msp_0273
SGB4950	t__SGB4950	msp_0094
SGB4938	t__SGB4938	msp_0057
SGB4893	t__SGB4893	msp_0373
SGB4891	t__SGB4891	msp_0330
SGB4965	t__SGB4965	msp_0321
SGB4905	t__SGB4905	msp_0561
SGB4910	t__SGB4910	msp_0055
SGB5043	t__SGB5043	msp_0378
SGB4892	t__SGB4892	
SGB4993	t__SGB4993	msp_0125
SGB4930	t__SGB4930	msp_0533
SGB4959	t__SGB4959	msp_0299
SGB4948	t__SGB4948	msp_0539
SGB4914	t__SGB4914	msp_0075
SGB5057	t__SGB5057	msp_0863
SGB4989	t__SGB4989	msp_0085
SGB4958	t__SGB4958	msp_1120
SGB4987	t__SGB4987	msp_0018
SGB5042	t__SGB5042	msp_0630
SGB4957	t__SGB4957	msp_0576
SGB4951	t__SGB4951	msp_0017
SGB4937	t__SGB4937	msp_0459
SGB4964	t__SGB4964	msp_0296
SGB4994	t__SGB4994	msp_0816c
SGB5050	t__SGB5050	msp_0892
SGB5063	t__SGB5063	msp_0387
SGB5061	t__SGB5061	msp_0433
SGB4894	t__SGB4894	msp_0060
SGB4936	t__SGB4936	msp_0071
SGB4909	t__SGB4909	msp_0480
SGB5062	t__SGB5062	msp_0077
SGB5071	t__SGB5071	msp_0548
SGB4925	t__SGB4925	msp_0015
SGB5051	t__SGB5051	msp_0551
SGB5060	t__SGB5060	msp_1270
SGB4995	t__SGB4995	msp_1149
SGB5099	t__SGB5099	msp_0582
SGB5068	t__SGB5068	msp_0376
SGB5065	t__SGB5065	msp_0206
SGB4953	t__SGB4953	msp_0237
SGB5086	t__SGB5086	msp_1831
SGB5089	t__SGB5089	msp_0048
SGB5087	t__SGB5087	msp_0227
SGB5111	t__SGB5111	msp_0039
SGB4940	t__SGB4940	msp_0072
SGB4906	t__SGB4906	msp_0397
SGB5072	t__SGB5072	msp_0496
SGB5076	t__SGB5076	msp_0158
SGB5104	t__SGB5104	msp_0499
SGB5077	t__SGB5077	msp_0161
SGB5058	t__SGB5058	msp_0493
SGB5121	t__SGB5121	msp_0133:0.4553029705474792,msp_0223:0.5446970294525207
SGB5090	t__SGB5090	msp_0572
SGB4960	t__SGB4960	msp_0464
SGB5115	t__SGB5115	msp_0668
SGB5193	t__SGB5193	msp_0204:0.01517512919366746,msp_0242:0.9848248708063326
SGB5066	t__SGB5066	msp_0294
SGB5184	t__SGB5184	msp_0740
SGB5118	t__SGB5118	msp_0179
SGB5045	t__SGB5045	msp_0236
SGB5190	t__SGB5190	msp_0258
SGB5200	t__SGB5200	msp_1541
SGB5239	t__SGB5239	msp_0825
SGB5183	t__SGB5183	msp_0887
SGB5234	t__SGB5234	msp_0995
SGB5273	t__SGB5273	msp_0446c
SGB5182	t__SGB5182	msp_0848
SGB4921	t__SGB4921	msp_0441
SGB5117	t__SGB5117	msp_0042
SGB5743	t__SGB5743	msp_0696
SGB5742	t__SGB5742	msp_0488
SGB5740	t__SGB5740	msp_0649
SGB5728	t__SGB5728	msp_1024
SGB5744	t__SGB5744	msp_0744
SGB5792	t__SGB5792	msp_0131
SGB5803	t__SGB5803	msp_0215
SGB5818	t__SGB5818	msp_0383
SGB5790	t__SGB5790	msp_0413
SGB5832	t__SGB5832	msp_0926
SGB5731	t__SGB5731	msp_0869
SGB5843	t__SGB5843	msp_1114
SGB5842	t__SGB5842	msp_1193
SGB5820	t__SGB5820	msp_1153
SGB5785	t__SGB5785	msp_0594
SGB5800	t__SGB5800	msp_1064
SGB5851	t__SGB5851	msp_0406
SGB5852	t__SGB5852	msp_0366:0.28871357783283846,msp_0659:0.7112864221671615
SGB5736	t__SGB5736	msp_0221
SGB5822	t__SGB5822	msp_0834
SGB5869	t__SGB5869	msp_1040c
SGB5722	t__SGB5722	msp_1167
SGB5858	t__SGB5858	msp_0197
SGB5862	t__SGB5862	msp_0501
SGB5825	t__SGB5825	msp_0212
SGB5854	t__SGB5854	msp_0700
SGB5868	t__SGB5868	msp_1325
SGB5989	t__SGB5989	msp_1783
SGB6001	t__SGB6001	
SGB5870	t__SGB5870	msp_1034
SGB5904	t__SGB5904	msp_0359
SGB6011	t__SGB6011	msp_0610
SGB5857	t__SGB5857	msp_1365
SGB5910	t__SGB5910	msp_0714c:0.6607476618541603,msp_0994:0.3392523381458396
SGB6007	t__SGB6007	msp_0610
SGB5985	t__SGB5985	msp_1081
SGB5967	t__SGB5967	msp_0395
SGB6031	t__SGB6031	msp_0338
SGB6038	t__SGB6038	msp_0289
SGB6035	t__SGB6035	msp_0580
SGB6077	t__SGB6077	msp_1679
SGB6172	t__SGB6172	msp_1567
SGB6176	t__SGB6176	msp_1601
SGB6139	t__SGB6139	msp_0860
SGB6179	t__SGB6179	msp_0454
SGB6140	t__SGB6140	msp_0621
SGB6188	t__SGB6188	msp_0323
SGB6148	t__SGB6148	msp_0422
SGB6187	t__SGB6187	msp_0347
SGB6174	t__SGB6174	msp_0760
SGB6169	t__SGB6169	msp_1772c
SGB6191	t__SGB6191	msp_0792
SGB6178	t__SGB6178	msp_0362
SGB6180	t__SGB6180	msp_1351
SGB6170	t__SGB6170	msp_0329
SGB6184	t__SGB6184	msp_0515
SGB6308	t__SGB6308	msp_0685
SGB6310	t__SGB6310	msp_1005
SGB6307	t__SGB6307	msp_1134
SGB6312	t__SGB6312	msp_0872
SGB6271	t__SGB6271	msp_1054
SGB6305	t__SGB6305	msp_1033
SGB6301	t__SGB6301	msp_1376
SGB6267	t__SGB6267	msp_1135
SGB6290	t__SGB6290	msp_1175
SGB6249	t__SGB6249	msp_1408
SGB6317	t__SGB6317	msp_0222
SGB6302	t__SGB6302	msp_1261
SGB6329	t__SGB6329	msp_0964
SGB6285	t__SGB6285	msp_1260
SGB6288	t__SGB6288	msp_1348
SGB6331	t__SGB6331	msp_1454
SGB6330	t__SGB6330	msp_1129
SGB6293	t__SGB6293	msp_0645
SGB6338	t__SGB6338	msp_0961
SGB6349	t__SGB6349	msp_1430
SGB6313	t__SGB6313	msp_1206
SGB6340	t__SGB6340	msp_0578
SGB6334	t__SGB6334	msp_1343
SGB6353	t__SGB6353	msp_1435:0.6672718948719271,msp_1873:0.33272810512807294
SGB6273	t__SGB6273	msp_1253
SGB6276	t__SGB6276	msp_0546
SGB6291	t__SGB6291	msp_1288
SGB6346	t__SGB6346	msp_1037
SGB6347	t__SGB6347	msp_0757
SGB6289	t__SGB6289	msp_0993
SGB6367	t__SGB6367	msp_0947
SGB6365	t__SGB6365	msp_1198
SGB6376	t__SGB6376	msp_1093
SGB6371	t__SGB6371	msp_0856
SGB6378	t__SGB6378	msp_1185
SGB6392	t__SGB6392	msp_1103
SGB6391	t__SGB6391	msp_1113c
SGB6370	t__SGB6370	msp_1069
SGB6369	t__SGB6369	msp_1139
SGB6374	t__SGB6374	
SGB6359	t__SGB6359	msp_1413
SGB6445	t__SGB6445	msp_1285
SGB6411	t__SGB6411	msp_1233
SGB6385	t__SGB6385	msp_0907
SGB6463	t__SGB6463	msp_1303
SGB6473	t__SGB6473	msp_0818
SGB6358	t__SGB6358	msp_0845
SGB6442	t__SGB6442	msp_1380
SGB6452	t__SGB6452	msp_1201
SGB6417	t__SGB6417	msp_1214
SGB6465	t__SGB6465	msp_1043
SGB6428	t__SGB6428	msp_1252:0.4292467346254411,msp_1275:0.5707532653745587
SGB6420	t__SGB6420	msp_1313
SGB6438	t__SGB6438	msp_0779
SGB6422	t__SGB6422	
SGB6362	t__SGB6362	msp_0586
SGB6506	t__SGB6506	msp_0985
SGB6491	t__SGB6491	msp_1333
SGB6476	t__SGB6476	msp_1414
SGB6462	t__SGB6462	msp_1424
SGB6484	t__SGB6484	msp_1204
SGB6486	t__SGB6486	msp_1027
SGB6499	t__SGB6499	msp_1162
SGB6493	t__SGB6493	msp_1068
SGB6487	t__SGB6487	msp_1138
SGB6460	t__SGB6460	msp_1211
SGB6478	t__SGB6478	msp_0512
SGB6503	t__SGB6503	msp_1047
SGB6458	t__SGB6458	msp_1243
SGB6447	t__SGB6447	msp_1290
SGB6510	t__SGB6510	msp_1066
SGB6449	t__SGB6449	msp_1455
SGB6526	t__SGB6526	msp_1160
SGB6444	t__SGB6444	msp_1306c
SGB6502	t__SGB6502	msp_0748
SGB6528	t__SGB6528	msp_1518
SGB6517	t__SGB6517	msp_1425
SGB6440	t__SGB6440	msp_1328
SGB6498	t__SGB6498	msp_1170
SGB6320	t__SGB6320	msp_1374
SGB6522	t__SGB6522	msp_1122
SGB6513	t__SGB6513	msp_1110
SGB6529	t__SGB6529	msp_1231
SGB6509	t__SGB6509	msp_1322
SGB6540	t__SGB6540	msp_1049
SGB6472	t__SGB6472	msp_1180
SGB6564	t__SGB6564	msp_1101
SGB6533	t__SGB6533	msp_1042
SGB6524	t__SGB6524	msp_1307
SGB6570	t__SGB6570	msp_1008
SGB6579	t__SGB6579	msp_0821
SGB6571	t__SGB6571	msp_0811
SGB6601	t__SGB6601	msp_0955
SGB6583	t__SGB6583	msp_1661
SGB6607	t__SGB6607	msp_0886
SGB6518	t__SGB6518	msp_1112
SGB6606	t__SGB6606	msp_1225:0.4357544856547624,msp_1258:0.5642455143452376
SGB6602	t__SGB6602	msp_0808
SGB6604	t__SGB6604	msp_1071
SGB6566	t__SGB6566	msp_1367
SGB6578	t__SGB6578	msp_1929
SGB6584	t__SGB6584	msp_0527
SGB6550	t__SGB6550	msp_1304
SGB6697	t__SGB6697	msp_1168
SGB6548	t__SGB6548	msp_1141
SGB6609	t__SGB6609	msp_1389
SGB6580	t__SGB6580	msp_1007
SGB6661	t__SGB6661	msp_1336
SGB6705	t__SGB6705	msp_1057c
SGB6653	t__SGB6653	msp_1234
SGB6716	t__SGB6716	msp_1457
SGB6648	t__SGB6648	msp_1245
SGB6750	t__SGB6750	msp_0623
SGB6747	t__SGB6747	msp_0883
SGB6816	t__SGB6816	msp_0981
SGB6768	t__SGB6768	msp_0828
SGB6790	t__SGB6790	msp_0698
SGB6728	t__SGB6728	msp_1571c
SGB6754	t__SGB6754	msp_0188
SGB6771	t__SGB6771	msp_0132
SGB6765	t__SGB6765	msp_1647
SGB6817	t__SGB6817	msp_0938
SGB6846	t__SGB6846	msp_0671
SGB6935	t__SGB6935	msp_1329
SGB6744	t__SGB6744	msp_0153
SGB6847	t__SGB6847	msp_1308
SGB6796	t__SGB6796	msp_0160
SGB6970	t__SGB6970	msp_1822
SGB6973	t__SGB6973	msp_1613
SGB6836	t__SGB6836	msp_0837
SGB6939	t__SGB6939	msp_0313
SGB6791	t__SGB6791	msp_0831
SGB6961	t__SGB6961	msp_0119
SGB7020	t__SGB7020	msp_1287
SGB7044	t__SGB7044	msp_1268
SGB7050	t__SGB7050	msp_0691
SGB7045	t__SGB7045	msp_1196
SGB7038	t__SGB7038	msp_0925
SGB7061	t__SGB7061	msp_0333
SGB7098	t__SGB7098	msp_1222
SGB7082	t__SGB7082	msp_0712
SGB7114	t__SGB7114	msp_0600c
SGB7142	t__SGB7142	msp_1089
SGB7106	t__SGB7106	msp_1006
SGB7298	t__SGB7298	msp_0974c
SGB7126	t__SGB7126	msp_0890c
SGB7967	t__SGB7967	msp_0403
SGB7962	t__SGB7962	msp_0497
SGB7115	t__SGB7115	msp_0843
SGB7985	t__SGB7985	msp_0486
SGB8002	t__SGB8002	msp_0833
SGB8000	t__SGB8000	msp_1477
SGB8053	t__SGB8053	msp_1748
SGB8007	t__SGB8007	msp_0380
SGB8018	t__SGB8018	msp_0832
SGB8021	t__SGB8021	msp_0983
SGB8047	t__SGB8047	msp_0146c
SGB8597	t__SGB8597	msp_0620
SGB8595	t__SGB8595	msp_1154
SGB8609	t__SGB8609	msp_1849
SGB8620	t__SGB8620	msp_0328
SGB8630	t__SGB8630	msp_0782
SGB8634	t__SGB8634	msp_0564
SGB8637	t__SGB8637	msp_0909
SGB8631	t__SGB8631	msp_0824
SGB8601	t__SGB8601	msp_0130
SGB8624	t__SGB8624	msp_0775
SGB8599	t__SGB8599	msp_0455
SGB8651	t__SGB8651	msp_1745
SGB8653	t__SGB8653	msp_0897
SGB8636	t__SGB8636	msp_1390
SGB8640	t__SGB8640	msp_0819
SGB8644	t__SGB8644	msp_1835
SGB8655	t__SGB8655	msp_0838
SGB8625	t__SGB8625	msp_0660
SGB8772	t__SGB8772	msp_1690
SGB8769	t__SGB8769	msp_0672
SGB8774	t__SGB8774	msp_1829
SGB8767	t__SGB8767	msp_0465
SGB8779	t__SGB8779	msp_0503
SGB9198	t__SGB9198	msp_0516
SGB9199	t__SGB9199	msp_0255
SGB9205	t__SGB9205	msp_0038
SGB9209	t__SGB9209	msp_1079
SGB9208	t__SGB9208	msp_0116:0.6135510213141505,msp_1978:0.3864489786858494
SGB9223	t__SGB9223	msp_0411
SGB9202	t__SGB9202	msp_0159
SGB9224	t__SGB9224	msp_0201
SGB9221	t__SGB9221	msp_1986
SGB9242	t__SGB9242	msp_1116
SGB9203	t__SGB9203	msp_0073
SGB9212	t__SGB9212	msp_0099
SGB9243	t__SGB9243	msp_1031
SGB9245	t__SGB9245	msp_0967
SGB9226	t__SGB9226	msp_0025
SGB9278	t__SGB9278	msp_2127
SGB9247	t__SGB9247	msp_0675
SGB9228	t__SGB9228	msp_0070
SGB9274	t__SGB9274	msp_0617
SGB9286	t__SGB9286	msp_0280
SGB9277	t__SGB9277	msp_0937
SGB9290	t__SGB9290	msp_0749
SGB9269	t__SGB9269	msp_0768
