Simulation	Sample	Shannon
refMet4	SAMEA3136753	5.666480594429425
refMet4	SAMEA3136754	6.11552957997495
refMet4	SAMEA3136755	5.684433315785516
refMet4	SAMEA3136756	5.25869856735265
refMet4	SAMEA3136757	4.787246554414002
refMet4	SAMEA3136758	3.9996681358763917
refMet4	SAMEA3136759	6.545238173676403
refMet4	SAMEA3136760	5.78827224139205
refMet4	SAMEA3136761	5.867694427530802
refMet4	SAMEA3136762	5.041683289679066
refMet4	SAMEA3136763	5.2714558795622715
refMet4	SAMEA3136764	5.078452908192542
refMet4	SAMEA3136765	3.1626445151577807
refMet4	SAMEA3136766	4.46755482756073
refMet4	SAMEA3136767	4.568678345162908
refMet4	SAMEA3136768	1.7551254998352617
refMet4	SAMEA3136769	3.4049947023839735
refMet4	SAMEA3178936	4.75443219584332
refMet4	SAMEA3178937	6.3979945244009215
refMet4	SAMEA3178938	5.681257334963036
refMet4	SAMEA3178939	5.876433168806536
refMet4	SAMEA3178940	4.453247144898905
refMet4	SAMEA3178941	5.6094663560998
refMet4	SAMEA3178942	5.122463086354126
refMet4	SAMEA3178943	5.808301150508229
refMet4	SAMEA3178944	5.658491755139946
refKrak	SAMEA2466922	5.85677120477657
refKrak	SAMEA3136635	5.39919679395485
refKrak	SAMEA2467056	6.900416915410006
refKrak	SAMEA3136711	5.475854966880035
refKrak	SAMEA3136712	5.442591118162709
refKrak	SAMEA2467068	5.735191256419576
refKrak	SAMEA2467065	6.846541731663624
refKrak	SAMEA3136680	6.4421737337608365
refKrak	SAMEA3136708	6.0656266818581805
refKrak	SAMEA2467032	4.659120737789323
refKrak	SAMEA2467085	6.069418448577087
refKrak	SAMEA2466902	6.356868575989187
refKrak	SAMEA3178939	6.729686326701418
refKrak	SAMEA2467021	7.133410549002577
refKrak	SAMEA2467070	6.276068846393725
refKrak	SAMEA2467057	6.501323575515608
refKrak	SAMEA3136623	5.6807384575067275
refKrak	SAMEA2467034	6.908891155861523
refKrak	SAMEA3136683	6.992569037186118
refKrak	SAMEA3136734	6.705223520374341
refKrak	SAMEA2467059	5.388671061108793
refKrak	SAMEA3136760	7.1383296984606455
