		reference	motus3	metaphlan4	metaphlan3	kraken2
SAMEA2466932	Kept_abundance	1.0	1.0	1.0	1.0	0.965400061785604
SAMEA2466932	Kept_mOTUs	825.0	683.0	578.0	208.0	747.0
SAMEA2466932	Raw_mOTUs	825.0	683.0	578.0	208.0	854.0
SAMEA2466932	Lost_mOTUs	0.0	0.0	0.0	0.0	107.0
SAMEA2466932	Lost_abundance	0.0	0.0	0.0	0.0	0.034599938214396
SAMEA2466932	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.1252927400468384
SAMEA3136741	Kept_abundance	1.0	1.0	1.0000000000000002	0.9999999999999998	0.9630432538453597
SAMEA3136741	Kept_mOTUs	559.0	525.0	457.0	190.0	625.0
SAMEA3136741	Raw_mOTUs	559.0	525.0	457.0	190.0	708.0
SAMEA3136741	Lost_mOTUs	0.0	0.0	0.0	0.0	83.0
SAMEA3136741	Lost_abundance	0.0	0.0	-2.220446049250313e-16	2.220446049250313e-16	0.036956746154640285
SAMEA3136741	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.1172316384180791
SAMEA3136628	Kept_abundance	1.0	0.9999999999999998	1.0	1.0	0.9422780121411669
SAMEA3136628	Kept_mOTUs	346.0	326.0	259.0	116.0	701.0
SAMEA3136628	Raw_mOTUs	346.0	326.0	259.0	116.0	825.0
SAMEA3136628	Lost_mOTUs	0.0	0.0	0.0	0.0	124.0
SAMEA3136628	Lost_abundance	0.0	2.220446049250313e-16	0.0	0.0	0.05772198785883309
SAMEA3136628	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.1503030303030303
SAMEA3136662	Kept_abundance	1.0000000000000002	1.0	1.0	1.0	0.974090067859346
SAMEA3136662	Kept_mOTUs	360.0	346.0	299.0	118.0	465.0
SAMEA3136662	Raw_mOTUs	360.0	346.0	299.0	118.0	533.0
SAMEA3136662	Lost_mOTUs	0.0	0.0	0.0	0.0	68.0
SAMEA3136662	Lost_abundance	-2.220446049250313e-16	0.0	0.0	0.0	0.025909932140653957
SAMEA3136662	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.1275797373358349
SAMEA3136731	Kept_abundance	1.0	0.9998919380363716	1.0	1.0	0.9585518872775893
SAMEA3136731	Kept_mOTUs	549.0	513.0	443.0	165.0	599.0
SAMEA3136731	Raw_mOTUs	549.0	514.0	443.0	165.0	701.0
SAMEA3136731	Lost_mOTUs	0.0	1.0	0.0	0.0	102.0
SAMEA3136731	Lost_abundance	0.0	0.00010806196362844744	0.0	0.0	0.04144811272241067
SAMEA3136731	Lost_mOTUs_frac	0.0	0.0019455252918287938	0.0	0.0	0.14550641940085593
SAMEA3136722	Kept_abundance	0.9999999999999999	0.9992740998598854	1.0	1.0	0.9200861715223636
SAMEA3136722	Kept_mOTUs	247.0	173.0	162.0	92.0	351.0
SAMEA3136722	Raw_mOTUs	247.0	174.0	162.0	92.0	440.0
SAMEA3136722	Lost_mOTUs	0.0	1.0	0.0	0.0	89.0
SAMEA3136722	Lost_abundance	1.1102230246251565e-16	0.0007259001401146437	0.0	0.0	0.0799138284776364
SAMEA3136722	Lost_mOTUs_frac	0.0	0.005747126436781609	0.0	0.0	0.20227272727272727
SAMEA2467082	Kept_abundance	1.0	0.999786334014518	0.9999999999999999	1.0	0.95189038837952
SAMEA2467082	Kept_mOTUs	485.0	347.0	257.0	109.0	472.0
SAMEA2467082	Raw_mOTUs	485.0	348.0	257.0	109.0	546.0
SAMEA2467082	Lost_mOTUs	0.0	1.0	0.0	0.0	74.0
SAMEA2467082	Lost_abundance	0.0	0.00021366598548200333	1.1102230246251565e-16	0.0	0.04810961162048
SAMEA2467082	Lost_mOTUs_frac	0.0	0.0028735632183908046	0.0	0.0	0.13553113553113552
SAMEA2466918	Kept_abundance	1.0	0.9999302613371477	1.0	1.0	0.9371581880094934
SAMEA2466918	Kept_mOTUs	542.0	499.0	431.0	180.0	578.0
SAMEA2466918	Raw_mOTUs	542.0	500.0	431.0	180.0	661.0
SAMEA2466918	Lost_mOTUs	0.0	1.0	0.0	0.0	83.0
SAMEA2466918	Lost_abundance	0.0	6.973866285231445e-05	0.0	0.0	0.06284181199050665
SAMEA2466918	Lost_mOTUs_frac	0.0	0.002	0.0	0.0	0.12556732223903178
SAMEA3136638	Kept_abundance	1.0000000000000002	1.0	1.0	1.0	0.9613116789076239
SAMEA3136638	Kept_mOTUs	503.0	469.0	405.0	157.0	549.0
SAMEA3136638	Raw_mOTUs	503.0	469.0	405.0	157.0	632.0
SAMEA3136638	Lost_mOTUs	0.0	0.0	0.0	0.0	83.0
SAMEA3136638	Lost_abundance	-2.220446049250313e-16	0.0	0.0	0.0	0.03868832109237608
SAMEA3136638	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.13132911392405064
SAMEA2467033	Kept_abundance	1.0	0.9998124416155181	1.0	0.9999999999999999	0.9450175366205902
SAMEA2467033	Kept_mOTUs	432.0	390.0	310.0	160.0	510.0
SAMEA2467033	Raw_mOTUs	432.0	391.0	310.0	160.0	591.0
SAMEA2467033	Lost_mOTUs	0.0	1.0	0.0	0.0	81.0
SAMEA2467033	Lost_abundance	0.0	0.00018755838448192286	0.0	1.1102230246251565e-16	0.05498246337940982
SAMEA2467033	Lost_mOTUs_frac	0.0	0.0025575447570332483	0.0	0.0	0.13705583756345177
SAMEA3136625	Kept_abundance	1.0	1.0	0.9999999999999998	0.9999999999999999	0.9648486105350479
SAMEA3136625	Kept_mOTUs	454.0	463.0	367.0	168.0	712.0
SAMEA3136625	Raw_mOTUs	454.0	463.0	367.0	168.0	843.0
SAMEA3136625	Lost_mOTUs	0.0	0.0	0.0	0.0	131.0
SAMEA3136625	Lost_abundance	0.0	0.0	2.220446049250313e-16	1.1102230246251565e-16	0.03515138946495211
SAMEA3136625	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.1553973902728351
SAMEA3136630	Kept_abundance	1.0	1.0	0.9999999999999999	1.0	0.9632703880473128
SAMEA3136630	Kept_mOTUs	564.0	545.0	465.0	138.0	580.0
SAMEA3136630	Raw_mOTUs	564.0	545.0	465.0	138.0	673.0
SAMEA3136630	Lost_mOTUs	0.0	0.0	0.0	0.0	93.0
SAMEA3136630	Lost_abundance	0.0	0.0	1.1102230246251565e-16	0.0	0.0367296119526872
SAMEA3136630	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.13818722139673106
SAMEA3136709	Kept_abundance	1.0000000000000002	1.0	1.0	1.0	0.9547842208260376
SAMEA3136709	Kept_mOTUs	367.0	378.0	312.0	139.0	776.0
SAMEA3136709	Raw_mOTUs	367.0	378.0	312.0	139.0	911.0
SAMEA3136709	Lost_mOTUs	0.0	0.0	0.0	0.0	135.0
SAMEA3136709	Lost_abundance	-2.220446049250313e-16	0.0	0.0	0.0	0.045215779173962356
SAMEA3136709	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.14818880351262348
SAMEA3136649	Kept_abundance	0.9999999999999999	1.0	1.0	0.9999999999999998	0.970016373311502
SAMEA3136649	Kept_mOTUs	206.0	190.0	172.0	75.0	326.0
SAMEA3136649	Raw_mOTUs	206.0	190.0	172.0	75.0	383.0
SAMEA3136649	Lost_mOTUs	0.0	0.0	0.0	0.0	57.0
SAMEA3136649	Lost_abundance	1.1102230246251565e-16	0.0	0.0	2.220446049250313e-16	0.029983626688497966
SAMEA3136649	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.14882506527415143
SAMEA2466967	Kept_abundance	1.0	0.9998217174642645	1.0	1.0	0.9721160797273569
SAMEA2466967	Kept_mOTUs	451.0	434.0	384.0	148.0	544.0
SAMEA2466967	Raw_mOTUs	451.0	435.0	384.0	148.0	626.0
SAMEA2466967	Lost_mOTUs	0.0	1.0	0.0	0.0	82.0
SAMEA2466967	Lost_abundance	0.0	0.00017828253573548558	0.0	0.0	0.02788392027264308
SAMEA2466967	Lost_mOTUs_frac	0.0	0.0022988505747126436	0.0	0.0	0.13099041533546327
SAMEA3136656	Kept_abundance	0.9999999999999999	1.0000000000000002	1.0	1.0	0.9761390517330041
SAMEA3136656	Kept_mOTUs	445.0	407.0	342.0	161.0	486.0
SAMEA3136656	Raw_mOTUs	445.0	407.0	342.0	161.0	552.0
SAMEA3136656	Lost_mOTUs	0.0	0.0	0.0	0.0	66.0
SAMEA3136656	Lost_abundance	1.1102230246251565e-16	-2.220446049250313e-16	0.0	0.0	0.02386094826699592
SAMEA3136656	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.11956521739130435
SAMEA2467048	Kept_abundance	1.0	0.9994915235228302	1.0	1.0	0.9710472279260779
SAMEA2467048	Kept_mOTUs	503.0	432.0	366.0	168.0	531.0
SAMEA2467048	Raw_mOTUs	503.0	433.0	366.0	168.0	611.0
SAMEA2467048	Lost_mOTUs	0.0	1.0	0.0	0.0	80.0
SAMEA2467048	Lost_abundance	0.0	0.0005084764771697836	0.0	0.0	0.028952772073922106
SAMEA2467048	Lost_mOTUs_frac	0.0	0.0023094688221709007	0.0	0.0	0.1309328968903437
SAMEA2466910	Kept_abundance	1.0	1.0	1.0	1.0	0.9662817075685708
SAMEA2466910	Kept_mOTUs	748.0	657.0	555.0	203.0	704.0
SAMEA2466910	Raw_mOTUs	748.0	657.0	555.0	203.0	808.0
SAMEA2466910	Lost_mOTUs	0.0	0.0	0.0	0.0	104.0
SAMEA2466910	Lost_abundance	0.0	0.0	0.0	0.0	0.03371829243142921
SAMEA2466910	Lost_mOTUs_frac	0.0	0.0	0.0	0.0	0.12871287128712872
SAMEA2466928	Kept_abundance	1.0	0.9999999999999999	1.0	1.0	0.9413450711434128
SAMEA2466928	Kept_mOTUs	587.0	448.0	350.0	141.0	531.0
SAMEA2466928	Raw_mOTUs	587.0	448.0	350.0	141.0	603.0
SAMEA2466928	Lost_mOTUs	0.0	0.0	0.0	0.0	72.0
SAMEA2466928	Lost_abundance	0.0	1.1102230246251565e-16	0.0	0.0	0.058654928856587185
