,simulation,kraken2 + bracken,metaphlan3,motus3,metaphlan4
SAMEA3136753,240,374,119,216,201
SAMEA3136754,270,507,113,242,228
SAMEA3136755,291,459,136,253,245
SAMEA3136756,264,438,107,234,210
SAMEA3136757,285,435,143,251,240
SAMEA3136758,86,262,67,74,64
SAMEA3136759,314,483,137,270,267
SAMEA3136760,294,521,139,269,258
SAMEA3136761,212,429,139,198,188
SAMEA3136762,185,373,96,150,149
SAMEA3136763,213,424,138,186,176
SAMEA3136764,172,386,82,156,146
SAMEA3136765,173,332,118,145,133
SAMEA3136766,165,366,94,141,126
SAMEA3136767,250,402,110,210,198
SAMEA3136768,105,211,70,81,71
SAMEA3136769,107,299,73,88,80
SAMEA3178936,114,314,76,113,107
SAMEA3178937,276,471,119,249,248
SAMEA3178938,229,419,133,207,191
SAMEA3178939,243,449,126,207,201
SAMEA3178940,110,333,78,102,95
SAMEA3178941,190,472,104,170,166
SAMEA3178942,152,427,86,144,134
SAMEA3178943,322,533,146,290,281
SAMEA3178944,236,451,106,204,210
