		kraken2 + bracken	metaphlan3	motus3	metaphlan4
SAMEA2466889	FOR	0.03158686387557887	0.14887700534727513	0.06408734868249683	0.07785266093405101
SAMEA2466889	P_T	0.18274943659086254	0.04220446629788978	0.13685720139315713	0.11841835689407908
SAMEA2466889	P_F	0.8172505634091375	0.9577955337021102	0.8631427986068428	0.8815816431059209
SAMEA2466889	FPRA	0.08937622840591024	0.14212927106463497	0.08116521430783329	0.048020148020147306
SAMEA2466889	FNRA	0.011902380476094225	0.6402480496098959	0.17822564512901795	0.11200240048008984
SAMEA2466889	F1	0.8574635241253791	0.35401459853691597	0.7958921694429019	0.756130790185585
SAMEA2466889	ACC	0.9479614833006598	0.854947756605501	0.9348494161013423	0.9266543741017688
SAMEA2466889	Dice	0.1425364758698092	0.6459854014598541	0.20410783055198972	0.2438692098092643
SAMEA2466890	TP	627.0	187.0	525.0	494.0
SAMEA2466890	FN	62.0	502.0	164.0	195.0
SAMEA2466890	FP	157.0	5.0	36.0	23.0
SAMEA2466890	TN	4035.0	4187.0	4156.0	4169.0
SAMEA2466890	TPR	0.910014513774891	0.27140783744163416	0.7619738751703632	0.7169811320650655
SAMEA2466890	FPR	0.037452290076246536	0.001192748091600208	0.008587786259521498	0.005486641221360958
SAMEA2466890	TNR	0.962547709921368	0.9988072519060143	0.9914122137380931	0.9945133587762536
SAMEA2466890	FNR	0.08998548621059528	0.7285921625438521	0.23802612481512297	0.28301886792042064
SAMEA2466890	PPV	0.7997448979489828	0.9739583332826063	0.9358288769886661	0.9555125725153673
SAMEA2466890	NPV	0.9848669758335737	0.8929409255685798	0.9620370370348101	0.9553162236458402
SAMEA2466890	FDR	0.20025510203826205	0.02604166666531033	0.06417112299350854	0.04448742746529038
SAMEA2466890	FOR	0.01513302416398552	0.10705907442928757	0.03796296296287509	0.04468377635186828
SAMEA2466890	P_T	0.16062282319196886	0.03933620159803319	0.11493546404425323	0.10592091784470395
SAMEA2466890	P_F	0.8393771768080311	0.9606637984019668	0.8850645359557467	0.8940790821552961
SAMEA2466890	FPRA	0.06490705556125059	0.004683000468300001	0.093223142923445	0.008726104363051369
SAMEA2466890	FNRA	0.007370368518425317	0.3586579328966307	0.14745737286864016	0.048882444122203224
SAMEA2466890	F1	0.8513238289147907	0.42451759363876823	0.8399999999932801	0.8192371475885636
SAMEA2466890	ACC	0.9551321450502865	0.8961278426533577	0.959024790000084	0.955337021100276
SAMEA2466890	Dice	0.14867617107942974	0.5754824063564131	0.16	0.18076285240464346
SAMEA2466891	TP	442.0	159.0	378.0	381.0
SAMEA2466891	FN	9.0	292.0	73.0	70.0
SAMEA2466891	FP	277.0	9.0	29.0	23.0
SAMEA2466891	TN	4153.0	4421.0	4401.0	4407.0
SAMEA2466891	TPR	0.980044345876274	0.3525498891274379	0.8381374722652297	0.8447893569657474
SAMEA2466891	FPR	0.0625282167041478	0.002031602708799026	0.006546275395019083	0.005191873589153066
SAMEA2466891	TNR	0.9374717832935949	0.9979683972889437	0.9934537246027236	0.9948081264085896
SAMEA2466891	FNR	0.01995565410155309	0.6474501108503892	0.1618625277125973	0.1552106430120796
SAMEA2466891	PPV	0.6147426981833832	0.9464285713722363	0.9287469287241094	0.9430693069073498
SAMEA2466891	NPV	0.9978375780850605	0.9380437088883131	0.9836835046915877	0.9843645298168766
SAMEA2466891	FDR	0.3852573018027085	0.05357142856823979	0.07125307125132056	0.056930693067897754
SAMEA2466891	FOR	0.0021624219125368515	0.061956291109565124	0.01631649530617721	0.0156354701808898
SAMEA2466891	P_T	0.1473058799426347	0.034419176398279044	0.08338455234583077	0.0827699241958615
SAMEA2466891	P_F	0.8526941200573653	0.9655808236017209	0.9166154476541692	0.9172300758041385
SAMEA2466891	FPRA	0.12334847233690284	0.1132140773571845	0.1355215746370381	0.07395612958245082
SAMEA2466891	FNRA	0.0030302121148474003	0.3544548118368113	0.19418359285149506	0.13068914824037262
SAMEA2466891	F1	0.7555555555490979	0.513731825516741	0.8811188811086117	0.8912280701650148
SAMEA2466891	ACC	0.941405449701001	0.9383323089511609	0.9791026428990389	0.9809465273489429
SAMEA2466891	Dice	0.24444444444444444	0.4862681744749596	0.11888111888111888	0.10877192982456141
SAMEA2466892	TP	422.0	160.0	380.0	376.0
SAMEA2466892	FN	14.0	276.0	56.0	60.0
SAMEA2466892	FP	177.0	10.0	31.0	17.0
SAMEA2466892	TN	4268.0	4435.0	4414.0	4428.0
SAMEA2466892	TPR	0.9678899082346815	0.3669724770558034	0.871559633007533	0.862385321081138
SAMEA2466892	FPR	0.03982002249709827	0.0022497187851467947	0.006974128233955064	0.003824521934749551
SAMEA2466892	TNR	0.960179977500652	0.9977502812126036	0.9930258717637952	0.9961754780630008
SAMEA2466892	FNR	0.032110091742382794	0.6330275229212609	0.12844036696953118	0.13761467889592627
SAMEA2466892	PPV	0.7045075125091067	0.9411764705328719	0.9245742092232464	0.9567430025201846
